report_date,property_id,property_name,total_beds,current_occupied,current_occupancy,current_total_new,current_total_renewals,current_total_leases,current_preleased_percent,prior_total_new,prior_total_renewals,prior_total_leases,prior_preleased_percent,yoy_variance_count,yoy_variance_percent,beds_left,vel_90,vel_95,vel_100
2025-02-14,739076,1008 S. 4th,158,154,0.9746835443037974,101,55,156,0.9873417721518988,99,50,149,0.9430379746835443,7,0.044303797468354444,2,0.06206896551724138,0.06551724137931034,0.06896551724137931
2025-02-14,739085,1047 Commonwealth Avenue,183,169,0.9234972677595629,12,41,53,0.2896174863387978,20,51,71,0.3879781420765027,-18,-0.09836065573770492,130,4.0344827586206895,4.258620689655173,4.482758620689655
2025-02-14,739079,307 E. Daniel,40,40,1,26,11,37,0.925,22,15,37,0.925,0,0,3,0.09310344827586207,0.0982758620689655,0.10344827586206896
2025-02-14,739080,501 S. 6th,104,104,1,82,17,99,0.9519230769230769,44,51,95,0.9134615384615384,4,0.038461538461538436,5,0.15517241379310345,0.16379310344827586,0.1724137931034483
2025-02-14,739084,908 S. 1st,96,92,0.9583333333333334,62,22,84,0.875,53,34,87,0.90625,-3,-0.03125,12,0.3724137931034483,0.393103448275862,0.41379310344827586
2025-02-14,641240,Academy 65,309,307,0.9935275080906149,19,98,117,0.3786407766990291,10,55,65,0.21035598705501618,52,0.16828478964401294,192,5.958620689655173,6.289655172413792,6.620689655172414
2025-02-14,676055,Academy Lincoln,632,624,0.9873417721518988,254,181,435,0.6882911392405063,233,190,423,0.6693037974683544,12,0.01898734177215189,197,6.113793103448276,6.453448275862068,6.793103448275862
2025-02-14,1115679,ANOVA uCity Square,461,425,0.9219088937093276,57,62,119,0.25813449023861174,88,27,115,0.24945770065075923,4,0.008676789587852507,342,10.613793103448277,11.203448275862069,11.793103448275861
2025-02-14,1161867,Courts at Spring Mill Station,386,360,0.9326424870466321,65,134,199,0.5155440414507773,68,116,184,0.47668393782383417,15,0.03886010362694309,187,5.80344827586207,6.125862068965517,6.448275862068965
2025-02-14,518044,Shortbread Lofts,374,374,1,346,25,371,0.9919786096256684,334,25,359,0.9598930481283422,12,0.03208556149732622,3,0.09310344827586207,0.0982758620689655,0.10344827586206896
2025-02-14,952515,SOVA,816,813,0.9963235294117647,64,330,394,0.48284313725490197,188,301,489,0.5992647058823529,-95,-0.11642156862745096,422,13.096551724137932,13.824137931034482,14.551724137931034
2025-02-14,577897,Station Nine,323,306,0.9473684210526315,55,25,80,0.2476780185758514,60,6,66,0.2043343653250774,14,0.043343653250773995,243,7.541379310344828,7.960344827586207,8.379310344827585
2025-02-14,518041,The Academy at Frisco,640,634,0.990625,319,257,576,0.9,259,316,575,0.8984375,1,0.0015625000000000222,64,1.986206896551724,2.096551724137931,2.206896551724138
2025-02-14,518042,The Academy on Charles,328,327,0.9969512195121951,91,73,164,0.5,127,113,240,0.7317073170731707,-76,-0.23170731707317072,164,5.089655172413793,5.372413793103448,5.655172413793103
2025-02-14,1197886,The Caswell at Runnymeade,247,214,0.8663967611336032,84,61,145,0.5870445344129555,94,0,94,0.3805668016194332,51,0.20647773279352227,102,3.1655172413793102,3.3413793103448275,3.5172413793103448
2025-02-14,833617,The Dean Campustown,672,657,0.9776785714285714,232,234,466,0.6934523809523809,233,233,466,0.6934523809523809,0,0,206,6.393103448275863,6.748275862068965,7.103448275862069
2025-02-14,1197887,The Dean Reno,773,666,0.8615782664941786,228,214,442,0.5717981888745148,172,98,270,0.34928848641655885,172,0.22250970245795598,331,10.27241379310345,10.843103448275862,11.413793103448276
2025-02-14,518046,The Rise at Northgate,465,465,1,164,230,394,0.8473118279569892,159,262,421,0.9053763440860215,-27,-0.058064516129032295,71,2.203448275862069,2.325862068965517,2.4482758620689653
2025-02-14,100064798,The Stretch,533,512,0.9606003752345216,75,130,205,0.38461538461538464,342,180,522,0.9793621013133208,-317,-0.5947467166979361,328,10.179310344827586,10.744827586206895,11.310344827586206
2025-02-14,1143679,Torre,558,501,0.8978494623655914,167,179,346,0.6200716845878136,264,118,382,0.6845878136200717,-36,-0.06451612903225812,212,6.5793103448275865,6.9448275862068956,7.310344827586207
2025-02-14,1311849,Venue at North Campus,734,640,0.8719346049046321,84,187,271,0.3692098092643052,180,222,402,0.547683923705722,-131,-0.17847411444141686,463,14.36896551724138,15.167241379310344,15.96551724137931
