"","portfolio","property_id","property_name"
"1","AGC",739085,"Campustown 1008 S. 4th"
"2","AGC",739085,"1047 Commonwealth Avenue"
"3","AGC",739079,"Campustown 307 E. Daniel"
"4","AGC",739080,"Campustown 501 S. 6th"
"5","AGC",739084,"Campustown 908 S. 1st"
"6","AGC",641240,"Academy 65"
"7","AGC",676055,"Academy Lincoln"
"8","AGC",535270,"The Academy Chorro"
"9","AGC",676054,"The Academy Palomar"
"10","AGC",833617,"The Dean Campustown"
"11","CBRE",1143679,"Torre"
"12","CBRE",952515,"SOVA"
"13","CRG",1197887,"The Dean Reno"
"14","Medistar",0,"Life Tower"
"15","Principal",518044,"Shortbread Lofts"
"16","Principal",518041,"The Academy at Frisco"
"17","Principal",518042,"The Academy on Charles"
"18","Principal",518046,"The Rise at Northgate"
"19","GMH",1311849,"The Venue at North Campus"
"20","GMH",0,"Life Tower"
"21","GMH",1197887,"The Dean Reno"
"22","GMH",1143679,"Torre"
"23","GMH",739085,"Campustown 1008 S. 4th"
"24","GMH",739085,"1047 Commonwealth Avenue"
"25","GMH",739079,"Campustown 307 E. Daniel"
"26","GMH",739080,"Campustown 501 S. 6th"
"27","GMH",739084,"Campustown 908 S. 1st"
"28","GMH",641240,"Academy 65"
"29","GMH",676055,"Academy Lincoln"
"30","GMH",518044,"Shortbread Lofts"
"31","GMH",952515,"SOVA"
"32","GMH",518041,"The Academy at Frisco"
"33","GMH",535270,"The Academy Chorro"
"34","GMH",518042,"The Academy on Charles"
"35","GMH",676054,"The Academy Palomar"
"36","GMH",518046,"The Rise at Northgate"
"37","GMH",833617,"The Dean Campustown"
