property_name,investment_partner
Torre,CBRE
SOVA,CBRE
Venue at North Campus,CBRE
1047 Commonwealth Avenue,AGC
307 E. Daniel,AGC
501 S. 6th,AGC
908 S. 1st,AGC
1008 S. 4th,AGC
Academy 65,AGC
The Academy on Charles,JHU
Academy Chorro,AGC
The Academy at Frisco,AEW
Academy Lincoln,AGC
Academy Palomar,AGC
ANOVA uCity Square,CBRE
The Caswell at Runnymeade,AEW
Central Station,NA
Courts at Spring Mill Station,Principal
The Dean Campustown,AGC
The Dean Reno,CRG and Canyon
Life Tower,Medistar Student Housing LLC
The Pendleton,CBRE
The Rise at Northgate,AEW
Shortbread Lofts,Principal
Station Nine,Principal
Yards at Malvern,AEW
