property_id,entrata_id,property_name,entrata_name
739076,739076,Campustown 1008 S. 4th,1008 S. 4th
739085,739085,1047 Commonwealth Avenue,1047 Commonwealth Avenue
739079,739079,Campustown 307 E. Daniel,307 E. Daniel
739080,739080,Campustown 501 S. 6th,501 S. 6th
739084,739084,Campustown 908 S. 1st,908 S. 1st
641240,641240,Academy 65,Academy 65
676055,676055,Academy Lincoln,Academy Lincoln
1115679,1115679,ANOVA uCity Square,ANOVA uCity Square
1161867,1161867,NA,Courts at Spring Mill Station
518044,518044,Shortbread Lofts,Shortbread Lofts
952515,952515,SOVA,SOVA
577897,577897,Station Nine,Station Nine
518041,518041,The Academy at Frisco,The Academy at Frisco
518042,518042,The Academy on Charles,The Academy on Charles
1197886,1197886,The Caswell at Runnymeade,The Caswell at Runnymeade
833617,833617,The Dean Campustown,The Dean Campustown
1197887,1197887,The Dean Reno,The Dean Reno
518046,518046,The Rise at Northgate,The Rise at Northgate
1143679,1143679,Torre,Torre
1311849,1311849,The Venue at North Campus,Venue at North Campus
