report_date,property_id,property_name,investment_partner,total_beds,model_beds,current_occupied,current_occupancy,current_total_new,current_total_renewals,current_total_leases,current_preleased_percent,prior_total_new,prior_total_renewals,prior_total_leases,prior_preleased_percent,yoy_variance_count,yoy_variance_percent,weekly_new,weekly_renewal,weekly_total,beds_left,vel_90,vel_95,vel_100
2025-02-18,739076,1008 S. 4th,AGC,158,0,154,0.9746835443037974,101,55,156,0.9873417721518988,99,50,149,0.9430379746835443,7,0.044303797468354444,1,0,1,2,0.0642857142857143,0.06785714285714285,0.07142857142857142
2025-02-18,739085,1047 Commonwealth Avenue,AGC,183,0,169,0.9234972677595629,12,42,54,0.29508196721311475,20,51,71,0.3879781420765027,-17,-0.09289617486338797,1,1,2,129,4.146428571428571,4.376785714285714,4.607142857142857
2025-02-18,739079,307 E. Daniel,AGC,40,0,40,1,26,11,37,0.925,22,15,37,0.925,0,0,0,0,0,3,0.09642857142857143,0.10178571428571427,0.10714285714285714
2025-02-18,739080,501 S. 6th,AGC,104,0,104,1,82,17,99,0.9519230769230769,44,51,95,0.9134615384615384,4,0.038461538461538436,0,0,0,5,0.16071428571428573,0.16964285714285715,0.17857142857142858
2025-02-18,739084,908 S. 1st,AGC,96,0,92,0.9583333333333334,62,22,84,0.875,54,34,88,0.9166666666666666,-4,-0.04166666666666663,0,0,0,12,0.38571428571428573,0.4071428571428571,0.42857142857142855
2025-02-18,1115679,ANOVA uCity Square,CBRE,461,2,424,0.9197396963123644,57,83,140,0.3036876355748373,89,29,118,0.2559652928416486,22,0.047722342733188705,0,48,48,321,10.317857142857145,10.891071428571427,11.464285714285714
2025-02-18,641240,Academy 65,AGC,309,4,307,0.9935275080906149,19,99,118,0.3818770226537217,11,56,67,0.2168284789644013,51,0.1650485436893204,3,4,7,191,6.139285714285714,6.480357142857143,6.821428571428571
2025-02-18,676055,Academy Lincoln,AGC,632,4,624,0.9873417721518988,260,182,442,0.6993670886075949,242,192,434,0.6867088607594937,8,0.012658227848101222,9,2,11,190,6.107142857142857,6.446428571428571,6.785714285714286
2025-02-18,1161867,Courts at Spring Mill Station,Principal,386,2,360,0.9326424870466321,65,135,200,0.5181347150259067,70,116,186,0.48186528497409326,14,0.036269430051813434,5,4,9,186,5.978571428571429,6.310714285714285,6.642857142857143
2025-02-18,952515,SOVA,CBRE,816,4,813,0.9963235294117647,71,332,403,0.49387254901960786,191,302,493,0.6041666666666666,-90,-0.11029411764705876,10,2,12,413,13.275,14.0125,14.75
2025-02-18,518044,Shortbread Lofts,Principal,374,3,374,1,346,25,371,0.9919786096256684,336,25,361,0.9652406417112299,10,0.0267379679144385,0,0,0,3,0.09642857142857143,0.10178571428571427,0.10714285714285714
2025-02-18,577897,Station Nine,Principal,323,1,306,0.9473684210526315,55,29,84,0.26006191950464397,62,7,69,0.21362229102167182,15,0.046439628482972145,2,19,21,239,7.682142857142857,8.10892857142857,8.535714285714286
2025-02-18,518041,The Academy at Frisco,AEW,640,4,634,0.990625,322,257,579,0.9046875,259,316,575,0.8984375,4,0.006249999999999978,5,2,7,61,1.9607142857142856,2.069642857142857,2.1785714285714284
2025-02-18,518042,The Academy on Charles,JHU,328,4,327,0.9969512195121951,91,74,165,0.5030487804878049,129,113,242,0.7378048780487805,-77,-0.2347560975609756,2,3,5,163,5.239285714285715,5.5303571428571425,5.821428571428571
2025-02-18,1197886,The Caswell at Runnymeade,AEW,247,1,214,0.8663967611336032,85,61,146,0.5910931174089069,95,0,95,0.38461538461538464,51,0.20647773279352227,0,0,0,101,3.2464285714285714,3.426785714285714,3.607142857142857
2025-02-18,833617,The Dean Campustown,AGC,672,4,657,0.9776785714285714,233,236,469,0.6979166666666666,233,233,466,0.6934523809523809,3,0.004464285714285698,2,2,4,203,6.525,6.8875,7.25
2025-02-18,1197887,The Dean Reno,CRG and Canyon,773,6,666,0.8615782664941786,238,233,471,0.6093143596377749,177,106,283,0.36610608020698576,188,0.24320827943078915,22,24,46,302,9.707142857142857,10.24642857142857,10.785714285714286
2025-02-18,518046,The Rise at Northgate,AEW,465,0,465,1,166,230,396,0.8516129032258064,159,262,421,0.9053763440860215,-25,-0.05376344086021512,6,0,6,69,2.217857142857143,2.3410714285714285,2.4642857142857144
2025-02-18,100064798,The Stretch,CBRE,533,0,512,0.9606003752345216,77,131,208,0.3902439024390244,342,180,522,0.9793621013133208,-314,-0.5891181988742964,7,6,13,325,10.446428571428571,11.026785714285714,11.607142857142858
2025-02-18,1143679,Torre,CBRE,558,6,501,0.8978494623655914,167,179,346,0.6200716845878136,265,120,385,0.6899641577060932,-39,-0.06989247311827962,1,2,3,212,6.814285714285715,7.192857142857142,7.571428571428571
2025-02-18,1311849,Venue at North Campus,CBRE,734,0,640,0.8719346049046321,85,192,277,0.3773841961852861,182,232,414,0.5640326975476839,-137,-0.1866485013623978,10,10,20,457,14.689285714285715,15.505357142857141,16.321428571428573
